city,total_vendas
Loveland,16.752000000000002
Portage,16.28
Altoona,16.032
Grand Island,15.96
Allen,15.936
Margate,15.552
New Brunswick,14.77
North Miami,14.496
Arlington Heights,14.112
Chapel Hill,14.016
Oswego,13.16
Rock Hill,11.85
Mesquite,10.728
San Marcos,10.368
Baytown,10.368
Iowa City,9.99
Bethlehem,9.48
Cuyahoga Falls,8.352
Billings,8.288
Port Orange,7.824
Keller,6.0
Layton,4.96
Springdale,4.3
San Luis Obispo,3.62
Jupiter,2.064
